id,country,iso,admin_level_name,pcode,region,category,measure,targeted_pop_group,comments,non_compliance,date_implemented,source,source_type,link,entry_date,alternative_source
1,Afghanistan,AFG,,,Asia,Public health measures,Health screenings in airports and border crossings,f,,,2020-02-12,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,2020-03-14,
2,Afghanistan,AFG,Kabul,,Asia,Public health measures,Introduction of quarantine policies,f,,,2020-02-12,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,2020-03-14,
3,Afghanistan,AFG,,,Asia,Public health measures,Awareness campaigns,f,,,2020-02-12,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,2020-03-14,
4,Afghanistan,AFG,,,Asia,Governance and socio-economic measures,Emergency administrative structures activated or established,f,,,2020-02-12,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,2020-03-14,
5,Afghanistan,AFG,,,Asia,Social distancing,Limit public gatherings,f,Nevruz festival cancelled,,2020-03-12,AA,Media,https://www.aa.com.tr/en/asia-pacific/coronavirus-afghanistan-scraps-annual-nevruz-festival/1763830,2020-03-14,
6,Afghanistan,AFG,,,Asia,Movement restrictions,Border closure,f,Closure of borders with Iran,,2020-02-24,Guardian,Media,https://www.theguardian.com/global-development/2020/feb/26/coronavirus-in-a-war-zone-afghanistan-braces-for-outbreak-after-first-case,2020-03-14,
8,Afghanistan,AFG,Herat,,Asia,Social distancing,Schools closure,f,,,2020-03-01,OCHA,UN,https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf,2020-03-14,
10,Afghanistan,AFG,Herat,,Asia,Social distancing,Limit public gatherings,f,all public gatherings banned,,2020-03-01,OCHA,UN,https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf,2020-03-14,
12,Afghanistan,AFG,,,Asia,Public health measures,Strengthening the public health system,f,,,2020-03-01,OCHA,UN,https://reliefweb.int/sites/reliefweb.int/files/resources/20200312-sitrep-covid-19.pdf,2020-03-14,
17,Afghanistan,AFG,,,Asia,Governance and socio-economic measures,Limit product imports/exports,f,Food imports from Iran and Afghanistan has been limited,,2020-03-01,US Embassy,Government,https://af.usembassy.gov/covid-19-information/,2020-03-14,
23,Afghanistan,AFG,,,Asia,Movement restrictions,Border checks,t,All China and Iran nationals,,2020-02-01,US Embassy,Government,https://af.usembassy.gov/covid-19-information/,2020-03-14,
27,Albania,ALB,,,Europe,Movement restrictions,International flights suspension,t,Italy until 3rd April,Not applicable,2020-03-09,Tirana Times 09/03/3030,Media,https://www.tiranatimes.com/?p=144490,2020-03-14,
28,Albania,ALB,Tirana and Durres,,Europe,Movement restrictions,Domestic travel restrictions,f,vehicle movement restrictions,Not applicable,2020-03-16,US Embassy,Government,https://al.usembassy.gov/updates_covid19/,2020-03-14,
29,Albania,ALB,,,Europe,Social distancing,Schools closure,f,"All schools are closed from March 10, 2020 until March 23, 2020",Not applicable,2020-03-10,US Embassy,Government,https://al.usembassy.gov/updates_covid19/,2020-03-14,
30,Albania,ALB,,,Europe,Social distancing,Limit public gatherings,f,Until 3rd April,Not applicable,2020-03-10,US Embassy,Government,https://al.usembassy.gov/updates_covid19/,2020-03-14,
31,Albania,ALB,,,Europe,Movement restrictions,Checkpoints within the country,t,People who have traveled to WHO high-risk regions for COVID-19 in the past 14 days,Not applicable,2020-03-10,US Embassy,Government,https://al.usembassy.gov/updates_covid19/,2020-03-14,
32,Albania,ALB,,,Europe,Public health measures,Introduction of quarantine policies,t,All people entering the country for 15 days,Not applicable,2020-03-10,US Embassy,Government,https://al.usembassy.gov/updates_covid19/,2020-03-14,
34,Albania,ALB,,,Europe,Governance and socio-economic measures,Economic measures,f,Stopped loan payments for 3 months (until 31.5.2020 as officially ordered on 17.3.2020) for all albanians,Not applicable,2020-03-12,BalkanInSight,Media,https://balkaninsight.com/2020/03/12/albania-close-factories-impose-curfew-in-war-against-new-coronavirus/,2020-03-14,https://www.bankofalbania.org/Press/Press_Releases/Decisions_by_the_Supervisory_Council_of_the_Bank_of_Albania_on_12_March_2020.html
35,Albania,ALB,,,Europe,Public health measures,Awareness campaigns,f,,Not applicable,2020-03-11,US Embassy,Government,https://al.usembassy.gov/u-s-citizen-services/additional-resources/covid-19-information/,2020-03-14,
925,Albania,ALB,,,Europe,Public health measures,Health screenings in airports and border crossings,f,All suspected cases at Mother Teresa International Airport and the seaports of Vlore and Durres are evaluated onsite.,,2020-03-19,US embassy of Albania,Government,https://al.usembassy.gov/updates_covid19/,2020-03-20,
